P18	CDKN2C
BAALC	CD34, HOXA9, IDH1, IDH2, IGFBP7, CAMK2A
P2Y1	P2RY1
EVER1	TMC6
Vh	VH
GCET1	SERPINA9
WTX	FAM123B
DOG1	BRIP1
List of University of Florida honorary degree recipients	DDT
PORCN	WNT7A
ANK3	ANK1, ANK2, Nav1.5
LRP4	CORIN
RESDA1	CELSR3
GOLPH2	GOLM1
TOX2	TOX, TOX3, TOX4
TOX3	TOX, TOX2, TOX4
ST2	ST-2
EID2	p21, CDKN2B
ADH2	ADH1B
CTPP	PHP
GPD1L	SCN5A
P65	RELA, GRASP65
IKBKA	CHUK
I-1	I1
WNT6	WNT10A
HOTAIR	SUZ12, LSD1
KCNMC1	KCNU1
FANCD1	BRCA2
FANCJ	BRIP1
FANCN	PALB2
FANCM	ATPase
KAT2B	PCAF
FKBPL	p21, Hsp90
H37	RBM5
H-37	H37
KIBRA	WWC1
BBS3	ARL6
BBS6	MKKS
BBS11	TRIM32
TTC8	BBS4, PCM1
BBS8	TTC8
P48	PTF1A
P59	GRASP55
P97	ATPase
ND2	MT-ND2
ND3	MT-ND3
ND4	MT-ND4
ND4L	MT-ND4L
ND6	MT-ND6
CYTB	MT-CYB
ATP8	MT-ATP8
MRIP	M-RIP
BMP11	GDF11
BMP12	GDF7
BMP13	GDF6
CDMP2	GDF6
BMP14	GDF5
GCN2	EIF2AK4
EIF2B	EIF2B1, EIF2B2, EIF2B3, EIF2B4, EIF2B5
EIF-2	EIF2
CLIMP-63	CKAP4
NPHP2	INVS
RPGRIP1L	NPHP4, NPHP6
NPHP8	RPGRIP1L
NPHP6	CEP290
NPHP7	GLIS2
NPHP5	IQCB1
TRPML1	MCOLN1
EIF2	EIF2S1, EIF2S2, EIF2S3, EIF2B1, EIF2B2, EIF2B3, EIF2B4, EIF2B5, EIF2S1, EIF2S2, EIF2S3, EIF2AK4, EIF2AK3, EIF2S1, EIF2S2, EIF2S3, EIF2AK1, EIF2AK3, EIF2AK4, EIF2B, EIF2B1, EIF2B2, EIF2B3, EIF2B4, EIF2B5, EIF5
MTPA	HADHA
IL2	IL-2
IL4	IL-4
IL6	IL-6
IA-2	IA2
MT-1	MT1
MT-2	MT2
GalNAc-T2	GALNT2
GalNAc-T3	GALNT3
GalNAc-T13	GALNT13
ARNTL	CLOCK, CLOCK, NPAS2, PER1, PER2, CRY1, CRY2, SIRT1, FBXL3, NR1D2, NR1F2, SUMO3, GSK3B, LDLR, CLOCK, CREBBP, CRY1, EP300, EPAS1, HIF1A, NPAS2, SUMO3, ARNTL2
FA-1	FA1
TCPTP	PTPN2
LYP	PTPN22
SHP1	PTPN6
TP73L	TP63
MAMDC1	MDGA2
TMEM16A	ANO1
GLUT-5	GLUT5
HNRPA1	HNRNPA1
IRZ	MENA
