GeneID	Symbol	Aliases
7157	TP53	BCC7, LFS1, P53, TRP53
1956	EGFR	ERBB, ERBB1, HER1, NISBD2, PIG61, mENA
7124	TNF	DIF-alpha, TNFA, TNFSF2, TNLG1F, TNF
348	APOE	AD2, APO-E, ApoE4, LDLCQ5, LPG
7422	VEGFA	MVCD1, VEGF, VPF
3569	IL6	BSF-2, BSF2, CDF, HGF, HSF, IFN-beta-2, IFNB2, IL-6
4524	MTHFR	
7040	TGFB1	CED, DPD1, LAP, TGFB, TGFbeta
2099	ESR1	ER, ESR, ESRA, ESTRR, Era, NR3A1
2064	ERBB2	CD340, HER-2, HER-2/neu, HER2, MLN 19, NEU, NGL, TKR1
1636	ACE	ACE1, CD143, DCP, DCP1
3586	IL10	CSIF, GVHDS, IL-10A, TGIF, IL10
351	APP	AAA, ABETA, ABPP, AD1I, CTFgamma, CVAP, PN-II, PN2, preA4, APP
3091	HIF1A	HIF-1-alpha, HIF-1A, HIF-1alpha, HIF1, HIF1-ALPHA, MOP1, PASD8, bHLHe78
672	BRCA1	BRCAI, BRCC1, BROVCA1, FANCS, IRIS, PNCA4, PPP1R53, PSCP, RNF53
3123	HLA-DRB1	DRB1, HLA-DR1B, HLA-DRB, SS1
4318	MMP9	CLG4B, GELB, MANDP2, MMP-9
5243	ABCB1	ABC20, CD243, CLCS, GP170, MDR1, P-GP, PGY1
9370	ADIPOQ	ACDC, ACRP30, ADIPQTL1, ADPN, APM-1, APM1, GBP28
4790	NFKB1	CVID12, EBP-1, KBF1, NF-kB1, NF-kappa-B1, NF-kappaB, NFKB-p105, NFKB-p50, NFkappaB, p105, p50
367	AR	AIS8, DHTR, HUMARA, HYSP1, KD, NR3C4, SBMA, SMAX1, TFM, AR
207	AKT1	AKT, CWS6, PKB, PKB-ALPHA, PRKBA, RAC, RAC-ALPHA
1401	CRP	PTX1
627	BDNF	ANON2, BULN2
673	BRAF	B-RAF1, B-raf1, NS7, RAFB1, BRAF
5743	PTGS2	COX-2, COX2, GRIPGHS, PGG/HS, PGHS-2, PHS-2, hCox-2
1029	CDKN2A	ARF, CDK4I, CDKN2, CMM2, INK4, INK4A, MLM, MTS-1, MTS1, P14, P14ARF, P16, P16-INK4A, P16INK4, P16INK4A, P19, P19ARF, TP16
3553	IL1B	IL-1, IL1-BETA, IL1F2
3845	KRAS	C-K-RAS, CFC2, K-RAS2A, K-RAS2B, K-RAS4A, K-RAS4B, K-Ras, KI-RAS1, KRAS2, NS, NS3, RALD, RASK2, c-Ki-ras2, KRAS
6774	STAT3	ADMIO, ADMIO1, APRF, HIES
7421	VDR	NR1I1, PPP1R163
4846	NOS3	ECNOS, eNOS
7099	TLR4	ARMD10, CD284, TLR-4, TOLL
1312	COMT	HEL-S-98n
1499	CTNNB1	CTNNB, EVR7, MRD19, armadillo
5728	PTEN	10q23del, BZS, CWS1, DEC, GLM2, MHAM, MMAC11, PTENbeta, TEP1, PTEN
5468	PPARG	CIMT1, GLM1, NR1C31, PPARG2, PPARgamma, PPARG
3576	CXCL8	GCP-1, GCP1, IL8, LECT, LUCT, LYNAP, MDNCF, MONAP, NAF, NAP-1, NAP1
1080	CFTR	ABC35, ABCC7, CF/MRP, MRP7, TNR-CFTR, dJ760C5.1, CFTR
6532	SLC6A4	5-HTT, 5-HTTLPR, 5HTT, HTT, OCD1, SERT, SERT1, hSERT
4609	MYC	MRTLC, bHLHe39, c-Myc, MYC
3106	HLA-B	AS, B-4901, HLAB
7015	TERT	CMM9, DKCA2, DKCB4, EST2, PFBMFT1, TCS1, TP2, TRT, hEST2, hTRT
6622	SNCA	NACP, PARK1, PARK4, PD1
920	CD4	CD4mut
999	CDH1	Arc-1, BCDS1, CD324, CDHE, ECAD, LCAM, UVO
3479	IGF1	IGF, IGF-I, IGFI, MGF
2944	GSTM1	GST1-1, GSTM1a-1a, GSTM1b-1b, GTH4, GTM1, H-B, MU, MU-1, GSTM1
596	BCL2	Bcl-2, PPP1R50
4137	MAPT	DDPAC, FTDP-17L, MSTD, MTBT1, MTBT2, PPND, PPP1R103, TAU, MAPT
3952	LEP	LEPD, OB, OBS
2475	MTOR	FRAP, FRAP1, FRAP2, RAFT1, RAPT1, SKS
3458	IFNG	IFG, IFI
7852	CXCR4	CD184, D2S201E, FB22, HM89, HSY3RR, LAP-3, LAP3, LCR1, LESTR, NPY3R, NPYR, NPYRL, NPYY3R, WHIM, WHIMS
2952	GSTT1	
675	BRCA2	BRCC2, BROVCA2, FACD, FAD, FAD1, FANCD, FANCD1, GLM3, PNCA2, XRCC11
4193	MDM2	ACTFS, HDMX, hdm2
3717	JAK2	JTK10, THCYT3
